Job Position,Office,City,Country,Salary,Work Time,Job Level,Job Level Specific,Job_Category,Industry,Qualification 1,Qualification 2,Qualification 3,Qualification 4,Qualification 5,
.NET Developer,NTT INDONESIA TECHNOLOGY ,Jakarta Pusat,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,IT and Software,Information Technology / IT,Bachelor degree majoring in computer science / Information Technology,Candidate should have minimum 3 years experience in development of information system using .NET framework C# programming language for both web based and desktop environment,"Strong hands on experience in Microsoft .NET programming (C#, ASP.NET MVC, ASP.NET Web Form, AngularJs, JQuery, EntityFramework, Web API, Web Services)",Experience in ASP.NET component KendoUI/Devexpress,Experience in database scripting SQL Server / Oracle,
.Net Senior API developer,Gluon Consulting Pte. Ltd.,Jakarta Pusat,Indonesia,"IDR 23,158,053.49 - IDR 38,596,755.82",Full Time (Remote),Mid-Senior Level,Manager,IT and Software,IT and Software,"At least 5 years of software development experience as a back-end or full-stack developer, of which at least 3 with the Microsoft .NET/.NET Core stack","Knowledge of the ASP.NET Core API development stack, including common tooling: dependency injection, security, logging, middleware, documentation, etc.",Proven experience building REST API using established patterns and best practices,"Experience with at least two of: relational databases, document/graph (No-SQL) databases, ORM (e.g. EF) messaging middleware, web sockets, distributed computing","Experience with unit testing, containerization, CI/CD",
[BANDAR JAYA] Microfinancing Sales Section Head,FIFGROUP,Bandar Lampung,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,Sales and Marketing,Financial Services,Max age. 32 years,"Minimum D3/S1 in all majors, preferably Economics/Business with a minimum GPA of 3.00.",Minimum 1-3 years experience as marketing officer/sales in the financing/banking business.,Have experience as a leader/supervisor min. 2 years is preferred.,Having experience in the field of micro financing is preferred.,
[CAKUNG]  Microfinancing Sales Section Head,FIFGROUP,Jakarta Timur,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,Sales and Marketing,Financial Services,Max age. 32 years,"Minimum D3/S1 in all majors, preferably Economics/Business with a minimum GPA of 3.00.",Minimum 1-3 years experience as marketing officer/sales in the financing/banking business.,Have experience as a leader/supervisor min. 2 years is preferred.,Having experience in the field of micro financing is preferred.,
[HCM] Growth Marketing Manager,Timo Digital Bank,"Thành phố Hồ Chí Minh,",Vietnam,Salary Undisclosed,Full Time,Mid-Senior Level,Manager,Sales and Marketing,Banking,"High logical thinking: seeing the nature of a complex problem, analyzing the framework for solving it",Deep understanding of human psychology and an expert in the art of storytelling,Creative and pragmatic at the same time: how to solve business problems at a reasonable cost,"You will work in a healthy working environment, where you can be yourself, without having to ""transform into another person"" to integrate.",You will also have extremely smart and interesting colleagues and bosses,
[HCM] Head of Customer,Timo Digital Bank,"Thành phố Hồ Chí Minh,",Vietnam,Salary Undisclosed,Full Time,Associate,Supervisor,Customer Service,Banking,Have +5 years of experience leading customer functions while understanding the limitations of regulated industry.,"Welcome talent from any background, with strong experience in dealing with collaboration between engagement and operations. We have seen talents with both banking and non-banking backgrounds able to shine and become key contributors. Timo is not just a bank!",Truly care for customers and how we define our core problems.,Appreciate the domain expertise of current team members while also providing them with inspiring ideas on why we should or shouldn't pursue certain initiatives.,"See everything as an opportunity for Timo on a larger scale, not just resolving specific or individual requests.",
[IDEAS #3] Daya Digital Intern,PT Bank BTPN Tbk,Jakarta Selatan,Indonesia,Salary Undisclosed,Full Time,Internship,OJT,IT and Software,Banking / Mortgage,Available and willing to start a 12-month internship in February 2024,An active university student majoring in Communication / Design Communication Visual (DKV) / other related major or have recently graduated within the past 3 months as of February 2024,Have a good graphic design and editing skills,Able to use mirrorless camera for photoshoot and video shooting,Able to equipment setting for photoshoot / shooting content,
[IDEAS #3] ESG Analyst Intern,PT Bank BTPN Tbk,Jakarta Selatan,Indonesia,Salary Undisclosed,Full Time,Internship,OJT,IT and Software,Banking / Mortgage,Available and willing to start a 12-month internship in February 2024,An active university student majoring in Electrical Engineeringing / Environmental Engineeringing / Civil Engineeringing or have recently graduated within the past 3 months as of February 2024,Able to analyze,Understand ESG concepts,Able to process data,
[IDEAS #3] Fraud Risk Monitoring Intern,PT Bank BTPN Tbk,Jakarta Selatan,Indonesia,Salary Undisclosed,Full Time,Internship,OJT,Accounting and Finance,Banking / Mortgage,Available and willing to start a 6-month internship in February 2024,An active university student in any major or have recently graduated within the past 3 months as of February 2024,Good communication skill,,,
[Kompetisi] BRILLIANT YOUTH COMPETITION milik LifeatBRI ,Kalibrr,Jakarta Selatan,Indonesia,Salary Undisclosed,Freelance,Internship,OJT,Sales and Marketing,Computer Software / Engineeringing,Active undergraduate (S1) students from various semesters and majors,New Bachelor (S1) graduates from various majors graduating in 2023,Passionate about the banking industry,Want to develop yourself professionally,"Active, creative and communicative",
[MEDAN] Microfinancing Sales Section Head,FIFGROUP,Medan,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,Sales and Marketing,Financial Services,Max age. 32 years,"Minimum D3/S1 in all majors, preferably Economics/Business with a minimum GPA of 3.00.",Minimum 1-3 years experience as marketing officer/sales in the financing/banking business.,Have experience as a leader/supervisor min. 2 years is preferred.,Having experience in the field of micro financing is preferred.,
[PALEMBANG] Microfinancing Sales Section Head ,FIFGROUP,Palembang,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,Sales and Marketing,Financial Services,Max age. 32 years,"Minimum D3/S1 in all majors, preferably Economics/Business with a minimum GPA of 3.00.",Minimum 1-3 years experience as marketing officer/sales in the financing/banking business.,Have experience as a leader/supervisor min. 2 years is preferred.,Having experience in the field of micro financing is preferred.,
[Remote/ WFH] Vietnamese - English Interpreter,Language Talent Solutions,Kuala Lumpur,Malaysia,Salary Undisclosed,Full Time (Remote),Entry Level,"Junior, Apprentice","Legal, Consulting and Translation",Human Resources,Excellent in English and Vietnamese,Strong Internet Connection,Have own phone and laptop (for training period),,,
A Concept Artist,Trueworld Studios,Singapore,Singapore,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Design,Entertainment,Understanding the technical constraints of working with Game Engines and how to produce creative solutions around these constraints.,Ability to work with both 2D and 3D conceptualisation.,Familiarity with mechanical concepts,Consistency in style and character.,Prior Experience working with Unreal Engine 4/5.,
Account Acquisition Specialist | Business Development,"Gardenia Bakeries Phils., Inc,",Biñan,Philippines,Salary Undisclosed,Full Time,Associate,Supervisor,Accounting and Finance,Food / Beverages,"Graduate of BS Business Administration, Marketing, Management or any four (4) year course",With at least three (3) years of work experience in the field of franchise business development,Confident with good communication and presentation skills,"Knows how to drive, willing to do field works and has geographical familiarity",,
